colour	x	y	showSelectedlegendcolour	fill
#F8766D	2015	0.56	Abap	#F8766D
#F8766D	2015	0.54	Abap	#F8766D
#F8766D	2015	0.53	Abap	#F8766D
#F8766D	2015	0.55	Abap	#F8766D
#F8766D	2015	0.56	Abap	#F8766D
#F8766D	2015	0.53	Abap	#F8766D
#F8766D	2015	0.51	Abap	#F8766D
#F8766D	2015	0.55	Abap	#F8766D
#F8766D	2015	0.54	Abap	#F8766D
#F8766D	2015	0.56	Abap	#F8766D
#F8766D	2015	0.53	Abap	#F8766D
#F8766D	2015	0.54	Abap	#F8766D
#EF7F48	2015	0.36	Ada	#EF7F48
#EF7F48	2015	0.34	Ada	#EF7F48
#EF7F48	2015	0.33	Ada	#EF7F48
#EF7F48	2015	0.35	Ada	#EF7F48
#EF7F48	2015	0.33	Ada	#EF7F48
#EF7F48	2015	0.3	Ada	#EF7F48
#EF7F48	2015	0.3	Ada	#EF7F48
#EF7F48	2015	0.31	Ada	#EF7F48
#EF7F48	2015	0.31	Ada	#EF7F48
#EF7F48	2015	0.29	Ada	#EF7F48
#EF7F48	2015	0.32	Ada	#EF7F48
#EF7F48	2015	0.32	Ada	#EF7F48
#D69100	2015	8.02	C.C..	#D69100
#D69100	2015	7.97	C.C..	#D69100
#D69100	2015	7.91	C.C..	#D69100
#D69100	2015	7.8	C.C..	#D69100
#D69100	2015	7.63	C.C..	#D69100
#D69100	2015	7.61	C.C..	#D69100
#D69100	2015	7.56	C.C..	#D69100
#D69100	2015	7.57	C.C..	#D69100
#D69100	2015	7.64	C.C..	#D69100
#D69100	2015	7.66	C.C..	#D69100
#D69100	2015	7.7	C.C..	#D69100
#D69100	2015	7.71	C.C..	#D69100
#E48800	2015	9.15	C.	#E48800
#E48800	2015	9.25	C.	#E48800
#E48800	2015	9.24	C.	#E48800
#E48800	2015	9.13	C.	#E48800
#E48800	2015	9.25	C.	#E48800
#E48800	2015	9.39	C.	#E48800
#E48800	2015	9.45	C.	#E48800
#E48800	2015	9.33	C.	#E48800
#E48800	2015	9.28	C.	#E48800
#E48800	2015	9.21	C.	#E48800
#E48800	2015	9.1	C.	#E48800
#E48800	2015	9.05	C.	#E48800
#C69900	2015	0.31	Cobol	#C69900
#C69900	2015	0.32	Cobol	#C69900
#C69900	2015	0.32	Cobol	#C69900
#C69900	2015	0.35	Cobol	#C69900
#C69900	2015	0.34	Cobol	#C69900
#C69900	2015	0.31	Cobol	#C69900
#C69900	2015	0.32	Cobol	#C69900
#C69900	2015	0.34	Cobol	#C69900
#C69900	2015	0.34	Cobol	#C69900
#C69900	2015	0.32	Cobol	#C69900
#C69900	2015	0.34	Cobol	#C69900
#C69900	2015	0.33	Cobol	#C69900
#B4A000	2015	0.17	Dart	#B4A000
#B4A000	2015	0.15	Dart	#B4A000
#B4A000	2015	0.13	Dart	#B4A000
