colour	x	y	showSelected1	group
#132B43	1	0.34	2004	1
#132B43	1	0.35	2004	1
#132B43	1	0.41	2004	1
#132B43	1	0.4	2004	1
#132B43	1	0.38	2004	1
#132B43	1	0.36	2004	1
#16314B	1	0.39	2005	1
#16314B	1	0.37	2005	1
#16314B	1	0.34	2005	1
#16314B	1	0.34	2005	1
#16314B	1	0.35	2005	1
#16314B	1	0.35	2005	1
#16314B	1	0.33	2005	1
#16314B	1	0.32	2005	1
#16314B	1	0.36	2005	1
#16314B	1	0.38	2005	1
#16314B	1	0.38	2005	1
#16314B	1	0.39	2005	1
#193754	1	0.4	2006	1
#193754	1	0.41	2006	1
#193754	1	0.37	2006	1
#193754	1	0.35	2006	1
#193754	1	0.34	2006	1
#193754	1	0.34	2006	1
#193754	1	0.35	2006	1
#193754	1	0.35	2006	1
#193754	1	0.34	2006	1
#193754	1	0.34	2006	1
#193754	1	0.36	2006	1
#193754	1	0.4	2006	1
#1D3E5C	1	0.38	2007	1
#1D3E5C	1	0.4	2007	1
#1D3E5C	1	0.39	2007	1
#1D3E5C	1	0.38	2007	1
#1D3E5C	1	0.38	2007	1
#1D3E5C	1	0.32	2007	1
#1D3E5C	1	0.34	2007	1
#1D3E5C	1	0.36	2007	1
#1D3E5C	1	0.36	2007	1
#1D3E5C	1	0.36	2007	1
#1D3E5C	1	0.37	2007	1
#1D3E5C	1	0.41	2007	1
#204465	1	0.38	2008	1
#204465	1	0.36	2008	1
#204465	1	0.36	2008	1
#204465	1	0.35	2008	1
#204465	1	0.34	2008	1
#204465	1	0.32	2008	1
#204465	1	0.36	2008	1
#204465	1	0.35	2008	1
#204465	1	0.39	2008	1
#204465	1	0.42	2008	1
#204465	1	0.42	2008	1
#204465	1	0.43	2008	1
#234B6E	1	0.4	2009	1
#234B6E	1	0.38	2009	1
#234B6E	1	0.37	2009	1
#234B6E	1	0.35	2009	1
#234B6E	1	0.37	2009	1
#234B6E	1	0.37	2009	1
#234B6E	1	0.4	2009	1
#234B6E	1	0.43	2009	1
#234B6E	1	0.41	2009	1
#234B6E	1	0.43	2009	1
#234B6E	1	0.43	2009	1
#234B6E	1	0.44	2009	1
#275277	1	0.48	2010	1
#275277	1	0.49	2010	1
#275277	1	0.55	2010	1
#275277	1	0.53	2010	1
#275277	1	0.58	2010	1
#275277	1	0.61	2010	1
#275277	1	0.58	2010	1
#275277	1	0.6	2010	1
#275277	1	0.61	2010	1
#275277	1	0.66	2010	1
#275277	1	0.63	2010	1
#275277	1	0.62	2010	1
#2A5980	1	0.62	2011	1
#2A5980	1	0.61	2011	1
#2A5980	1	0.59	2011	1
#2A5980	1	0.59	2011	1
#2A5980	1	0.65	2011	1
#2A5980	1	0.64	2011	1
#2A5980	1	0.66	2011	1
#2A5980	1	0.69	2011	1
#2A5980	1	0.7	2011	1
#2A5980	1	0.72	2011	1
#2A5980	1	0.68	2011	1
#2A5980	1	0.71	2011	1
#2E608A	1	0.72	2012	1
#2E608A	1	0.72	2012	1
#2E608A	1	0.72	2012	1
#2E608A	1	0.74	2012	1
#2E608A	1	0.75	2012	1
#2E608A	1	0.72	2012	1
#2E608A	1	0.73	2012	1
#2E608A	1	0.76	2012	1
#2E608A	1	0.75	2012	1
#2E608A	1	0.7	2012	1
#2E608A	1	0.7	2012	1
#2E608A	1	0.67	2012	1
#316793	1	0.66	2013	1
#316793	1	0.6	2013	1
#316793	1	0.62	2013	1
#316793	1	0.61	2013	1
#316793	1	0.61	2013	1
#316793	1	0.62	2013	1
#316793	1	0.59	2013	1
#316793	1	0.62	2013	1
#316793	1	0.61	2013	1
#316793	1	0.61	2013	1
#316793	1	0.59	2013	1
#316793	1	0.6	2013	1
#356E9D	1	0.59	2014	1
#356E9D	1	0.6	2014	1
#356E9D	1	0.56	2014	1
#356E9D	1	0.55	2014	1
#356E9D	1	0.6	2014	1
#356E9D	1	0.59	2014	1
#356E9D	1	0.6	2014	1
#356E9D	1	0.58	2014	1
#356E9D	1	0.59	2014	1
#356E9D	1	0.59	2014	1
#356E9D	1	0.54	2014	1
