colour	x	y	fill
#52A9ED	1	0.42	#52A9ED
#52A9ED	1	0.43	#52A9ED
#52A9ED	1	0.41	#52A9ED
#52A9ED	1	0.41	#52A9ED
#52A9ED	1	0.42	#52A9ED
#52A9ED	1	0.4	#52A9ED
#52A9ED	1	0.45	#52A9ED
#52A9ED	1	0.44	#52A9ED
#52A9ED	1	0.45	#52A9ED
#52A9ED	1	0.48	#52A9ED
#52A9ED	1	0.48	#52A9ED
#52A9ED	1	0.5	#52A9ED
#52A9ED	2	0.73	#52A9ED
#52A9ED	2	0.64	#52A9ED
#52A9ED	2	0.59	#52A9ED
#52A9ED	2	0.62	#52A9ED
#52A9ED	2	0.57	#52A9ED
#52A9ED	2	0.65	#52A9ED
#52A9ED	2	0.73	#52A9ED
#52A9ED	2	0.78	#52A9ED
#52A9ED	2	0.77	#52A9ED
#52A9ED	2	0.79	#52A9ED
#52A9ED	2	0.85	#52A9ED
#52A9ED	2	0.88	#52A9ED
#52A9ED	4	7.43	#52A9ED
#52A9ED	4	7.49	#52A9ED
#52A9ED	4	7.39	#52A9ED
#52A9ED	4	7.15	#52A9ED
#52A9ED	4	6.99	#52A9ED
#52A9ED	4	6.75	#52A9ED
#52A9ED	4	6.22	#52A9ED
#52A9ED	4	6.2	#52A9ED
#52A9ED	4	6.25	#52A9ED
#52A9ED	4	6.34	#52A9ED
#52A9ED	4	6.52	#52A9ED
#52A9ED	4	6.68	#52A9ED
#52A9ED	3	7.29	#52A9ED
#52A9ED	3	7.46	#52A9ED
#52A9ED	3	7.35	#52A9ED
#52A9ED	3	7.21	#52A9ED
#52A9ED	3	7.24	#52A9ED
#52A9ED	3	7.26	#52A9ED
#52A9ED	3	7.05	#52A9ED
#52A9ED	3	6.95	#52A9ED
#52A9ED	3	7.03	#52A9ED
#52A9ED	3	6.99	#52A9ED
#52A9ED	3	6.95	#52A9ED
#52A9ED	3	6.93	#52A9ED
#52A9ED	5	0.23	#52A9ED
#52A9ED	5	0.2	#52A9ED
#52A9ED	5	0.18	#52A9ED
#52A9ED	5	0.21	#52A9ED
#52A9ED	5	0.22	#52A9ED
#52A9ED	5	0.23	#52A9ED
#52A9ED	5	0.26	#52A9ED
#52A9ED	5	0.32	#52A9ED
#52A9ED	5	0.34	#52A9ED
#52A9ED	5	0.33	#52A9ED
#52A9ED	5	0.34	#52A9ED
#52A9ED	5	0.35	#52A9ED
#52A9ED	6	0.4	#52A9ED
#52A9ED	6	0.5	#52A9ED
